country_code,country,deaths,epiweek_onset,imported_cases,lab_confirmed_cases,nombre_pais,num_country_code,num_country_code2,num_gbs,num_gbs_with_zika,num_records,num_microcephaly_associated,other_neuro_complications,other_source_transmission,pregnant_women,report_epi_week,severe_cases,sovereign,status,sub_region,suspected_cases,suspect_cases_bin,total_cases,total_cases_bin,year,month
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,40,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,October
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,41,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,October
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,42,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,October
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,43,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,October
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,44,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,November
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,45,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,November
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,46,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,November
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,47,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,November
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,48,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,December
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,49,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,December
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,50,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,December
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,51,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,December
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,52,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2015,December
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,1,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2016,January
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,2,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2016,January
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,3,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2016,January
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,4,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2016,January
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,5,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2016,February
ABW,Aruba,0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,6,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,0,0,2016,February
ABW,Aruba,0,0,7,4,Aruba,533,533,0,0,1,0,0,0,0,7,0,Netherlands,Associated Member,Non Latin Caribbean,0,0K,4,0,2016,February
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,40,0,El Salvador,Member State,Central America,0,0K,0,0,2015,October
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,41,0,El Salvador,Member State,Central America,0,0K,0,0,2015,October
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,42,0,El Salvador,Member State,Central America,0,0K,0,0,2015,October
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,43,0,El Salvador,Member State,Central America,0,0K,0,0,2015,October
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,44,0,El Salvador,Member State,Central America,0,0K,0,0,2015,November
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,45,0,El Salvador,Member State,Central America,0,0K,0,0,2015,November
SLV,El Salvador,0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,46,0,El Salvador,Member State,Central America,0,0K,0,0,2015,November
